ID,AGENT,TYPE,CONFIDENCE,SECURITY,VALIDATED
3264067496,Claude_Code,,,1,1
3264372403,Claude_Code,,,1,1
3264428170,Claude_Code,,,1,1
3264589660,Claude_Code,,,1,1
3264710298,Claude_Code,,,1,1
3264773397,Claude_Code,,,1,1
3264933329,Claude_Code,fix,10.0,1,1
3265118904,Claude_Code,,,1,1
3265122204,Claude_Code,,,1,1
3265262072,Claude_Code,,,1,1
3265330068,Claude_Code,,,1,1
3265333044,Claude_Code,,,1,1
3265440577,Claude_Code,,,1,1
3265693023,Claude_Code,,,1,0
3265794513,Claude_Code,,,1,1
3265800252,Claude_Code,,,1,1
3265845795,Claude_Code,,,1,1
3230606451,Claude_Code,,,1,1
3230673630,Claude_Code,,,1,1
3230705500,Claude_Code,,,1,1
3231713679,Claude_Code,,,1,1
3232521552,Claude_Code,,,1,1
3232804533,Claude_Code,,,1,1
3232968512,Claude_Code,,,1,1
3233125141,Claude_Code,,,1,1
3233240539,Claude_Code,,,1,1
3233554538,Claude_Code,,,1,1
3233670954,Claude_Code,,,1,1
3233674084,Claude_Code,,,1,1
3233890438,Claude_Code,,,1,1
3234097992,Claude_Code,,,1,1
3212961701,Claude_Code,fix,10.0,1,1
3213731459,Claude_Code,,,1,1
3213843314,Claude_Code,,,1,1
3213953733,Claude_Code,,,1,1
3214173937,Claude_Code,,,1,1
3214582992,Claude_Code,,,1,1
3214782537,Claude_Code,refactor,10.0,1,1
3214876564,Claude_Code,fix,10.0,1,1
3214956329,Claude_Code,,,1,1
3215410323,Claude_Code,,,1,1
3216003038,Claude_Code,,,1,1
3216119985,Claude_Code,,,1,1
3216274135,Claude_Code,,,1,1
3216407600,Claude_Code,,,1,1
3216691582,Claude_Code,,,1,1
3216706697,Claude_Code,feat,10.0,1,1
3217202784,Claude_Code,,,1,1
3164503419,Claude_Code,fix,10.0,1,0
3164822811,Claude_Code,,,1,1
3164829333,Claude_Code,,,1,1
3164878841,Claude_Code,,,1,1
3164982525,Claude_Code,,,1,1
3164991048,Claude_Code,,,1,1
3165052478,Claude_Code,,,1,1
3165107296,Claude_Code,,,1,1
3165116477,Claude_Code,,,1,1
3165230160,Claude_Code,,,1,1
3165237396,Claude_Code,,,1,1
3165301762,Claude_Code,,,1,1
3165369590,Claude_Code,,,1,1
3271620734,Claude_Code,,,1,1
3271653941,Claude_Code,,,1,1
3271679673,Claude_Code,,,1,1
3271683516,Claude_Code,,,1,1
3271901889,Claude_Code,,,1,1
3271932119,Claude_Code,,,1,1
3272002199,Claude_Code,,,1,1
3272010144,Claude_Code,,,1,1
3272234287,Claude_Code,,,1,1
3272907868,Claude_Code,feat,10.0,1,1
3273233066,Claude_Code,feat,10.0,1,1
3273259690,Claude_Code,,,1,1
3273603429,Claude_Code,,,1,1
3273816322,Claude_Code,,,1,1
3273920973,Claude_Code,,,1,1
3273978835,Claude_Code,,,1,1
3274247436,Claude_Code,,,1,1
3274291758,Claude_Code,,,1,1
3217681446,Claude_Code,,,1,1
3218361901,Claude_Code,,,1,1
3219167681,Claude_Code,,,1,1
3219216721,Claude_Code,,,1,1
3219243947,Claude_Code,,,1,1
3219526033,Claude_Code,,,1,0
3219537717,Claude_Code,,,1,0
3219880512,Claude_Code,feat,10.0,1,1
3220079259,Claude_Code,,,1,0
3220110006,Claude_Code,,,1,1
3220185604,Claude_Code,,,1,1
3220293300,Claude_Code,,,1,0
3220367089,Claude_Code,fix,10.0,1,1
3220598771,Claude_Code,,,1,1
3220734114,Claude_Code,,,1,0
3220744192,Claude_Code,,,1,0
3220772326,Claude_Code,,,1,0
3220946590,Claude_Code,,,1,0
3221010927,Claude_Code,,,1,1
3221016800,Claude_Code,,,1,1
3221022326,Claude_Code,,,1,1
3221132108,Claude_Code,,,1,1
3221195362,Claude_Code,,,1,1
3221278323,Claude_Code,,,1,1
3221397484,Claude_Code,,,1,1
3221564754,Claude_Code,,,1,1
2876264350,Claude_Code,,,1,1
2878832797,Claude_Code,,,1,1
2883936949,Claude_Code,,,1,1
2889298080,Claude_Code,,,1,1
2889310314,Claude_Code,,,1,1
2889318909,Claude_Code,,,1,1
2889320384,Claude_Code,,,1,1
2889561292,Claude_Code,,,1,1
2889684016,Claude_Code,,,1,1
2889835337,Claude_Code,feat,10.0,1,1
2889875255,Claude_Code,feat,10.0,1,1
2889940236,Claude_Code,fix,10.0,1,1
3246210420,Claude_Code,,,1,1
3246401928,Claude_Code,,,1,1
3246559432,Claude_Code,,,1,1
3246593822,Claude_Code,,,1,1
3246647058,Claude_Code,,,1,1
3246778923,Claude_Code,,,1,1
3246786468,Claude_Code,,,1,1
3261776974,Claude_Code,,,1,1
3262103628,Claude_Code,,,1,1
3262590953,Claude_Code,,,1,1
3262601495,Claude_Code,,,1,1
3262618753,Claude_Code,,,1,1
3262620050,Claude_Code,,,1,1
3262672952,Claude_Code,,,1,1
